Libro;Publisher;DOI;Proprietary Identifier;ISBN;ISSN;11-2018;12-2018;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Climate Change;Elsevier;; ;978-0-12-812164-1;;0;0;0;7;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Clinical Veterinary Advisor: Birds and Exotic Pets;Elsevier;; ;978-1-4160-3969-3;;0;0;1;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Clinical Veterinary Advisor: The Horse;Elsevier;; ;978-1-4160-9979-6;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Competition for Water Resources;Elsevier;; ;978-0-12-803237-4;;0;0;0;25;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Corn (Third Edition);AACC International Press;; ;978-0-12-811971-6;;0;0;0;4;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Current Developments in Biotechnology and Bioengineering;Elsevier;; ;978-0-444-63662-1;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Damping Technologies for Tall Buildings;Elsevier;; ;978-0-12-815963-7;;0;0;0;0;2;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Data Treatment in Environmental Sciences;Elsevier;; ;978-1-78548-239-7;;0;0;0;7;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Decision Making in Water Resources Policy and Management;Elsevier;; ;978-0-12-810523-8;;0;0;0;19;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Dissolved Gas Concentration in Water (Second Edition);Elsevier;; ;978-0-12-415916-7;;0;0;0;12;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Eco-Friendly Technology for Postharvest Produce Quality;Elsevier;; ;978-0-12-804313-4;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Ecology and Classification of North American Freshwater Invertebrates (Third Edition);Elsevier;; ;978-0-12-374855-3;;0;0;0;2;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Ecosystem Services;Elsevier;; ;978-0-12-419964-4;;0;0;0;42;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Ecotoxicology Essentials;Elsevier;; ;978-0-12-801947-4;;0;0;0;59;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Emerging Technologies for Librarians;Chandos Publishing;; ;978-1-84334-788-0;;0;0;3;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Endodontics (Fourth Edition);Elsevier;; ;978-0-7020-3155-7;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Energy, Sustainability and the Environment;Elsevier;; ;978-0-12-385136-9;;0;0;0;20;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Entropy Principle for the Development of Complex Biotic Systems;Elsevier;; ;978-0-12-391493-4;;0;0;0;12;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Environanotechnology;Elsevier;; ;978-0-08-054820-3;;0;0;0;14;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Environment and Development;Elsevier;; ;978-0-444-62733-9;;0;0;0;8;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Environmental Changes;Elsevier;; ;978-1-78548-026-3;;0;0;0;5;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Environmental Data Analysis with MatLab;Elsevier;; ;978-0-12-391886-4;;0;0;0;12;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Environmental Geochemistry (Second Edition);Elsevier;; ;978-0-444-63763-5;;0;0;0;23;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Environmental Management;Elsevier;; ;978-0-12-811989-1;;0;0;0;25;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Environmental Materials and Waste;Elsevier;; ;978-0-12-803837-6;;0;0;0;27;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Environmental Stresses in Soybean Production;Elsevier;; ;978-0-12-801535-3;;1;0;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Enzymes in Food Biotechnology;Elsevier;; ;978-0-12-813280-7;;0;0;1;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Enzymes in Human and Animal Nutrition;Elsevier;; ;978-0-12-805419-2;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Exotic Fruits;Elsevier;; ;978-0-12-803138-4;;0;0;0;3;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Ferrets, Rabbits, and Rodents (Third Edition);Elsevier;; ;978-1-4160-6621-7;;0;0;1;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Field Guide to Freshwater Invertebrates of North America;Elsevier;; ;978-0-12-381426-5;;0;0;0;29;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Food Packaging and Preservation;Elsevier;; ;978-0-12-811516-9;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Food Preservation;Elsevier;; ;978-0-12-804303-5;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Food Processing Technology (Fourth Edition);Woodhead Publishing;; ;978-0-08-101907-8;;0;0;0;3;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
FTTx Networks;Elsevier;; ;978-0-12-420137-8;;0;1;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Fundamentals of Ecosystem Science;Elsevier;; ;978-0-12-088774-3;;0;0;0;19;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Fundamentals of Geoenvironmental Engineering;Elsevier;; ;978-0-12-804830-6;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Fundamentals of Soil Ecology (Third Edition);Elsevier;; ;978-0-12-805251-8;;0;0;0;23;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Gas-Turbine Power Generation;Elsevier;; ;978-0-12-804005-8;;2;0;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Genomics, Circuits, and Pathways in Clinical Neuropsychiatry;Elsevier;; ;978-0-12-800105-9;;1;5;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Geometric Morphometrics for Biologists (Second Edition);Elsevier;; ;978-0-12-386903-6;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Gestión Diaria del Hospital  (Tercera Edición);Elsevier;; ;978-84-458-1666-0;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Gluten-Free Ancient Grains;Woodhead Publishing;; ;978-0-08-100866-9;;0;0;0;0;25;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Growing your Library Career with Social Media;Chandos Publishing;; ;978-0-08-102411-9;;0;0;1;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Harnessing the Power of Viruses;Elsevier;; ;978-0-12-810514-6;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Health Care and Environmental Contamination;Elsevier;; ;978-0-444-63857-1;;0;0;0;13;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Illustrated Toxicology;Elsevier;; ;978-0-12-813213-5;;0;0;0;8;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Insect Ecology (Fourth Edition);Elsevier;; ;978-0-12-803033-2;;0;0;0;3;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Introduction to Supercritical Fluids;Elsevier;; ;978-0-444-52215-3;2212-0505;0;0;0;6;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Land Surface Remote Sensing in Continental Hydrology;Elsevier;; ;978-1-78548-104-8;;0;0;0;0;15;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Liquid Chromatography (Second Edition);Elsevier;; ;978-0-12-805392-8;;0;0;0;0;7;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Liquid Chromatography: Fundamentals and Instrumentation;Elsevier;; ;978-0-12-415807-8;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Llama and Alpaca Care;Elsevier;; ;978-1-4377-2352-6;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Manson's Tropical Infectious Diseases (Twenty-third Edition);Elsevier;; ;978-0-7020-5101-2;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Metal-Free Synthetic Organic Dyes;Elsevier;; ;978-0-12-815647-6;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Methods for Analysis of Carbohydrate Metabolism in Photosynthetic Organisms;Elsevier;; ;978-0-12-803396-8;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Methods in Stream Ecology (Third Edition);Elsevier;; ;978-0-12-813047-6;;0;0;0;19;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Microbial Diversity in the Genomic Era;Elsevier;; ;978-0-12-814849-5;;0;0;0;0;2;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Microplastic Contamination in Aquatic Environments;Elsevier;; ;978-0-12-813747-5;;0;0;0;13;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Microplastic Pollutants;Elsevier;; ;978-0-12-809406-8;;0;0;0;12;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Multifunctional Agriculture;Elsevier;; ;978-0-12-805356-0;;0;0;0;67;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Mycorrhizal Mediation of Soil;Elsevier;; ;978-0-12-804312-7;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Network Function Virtualization;Elsevier;; ;978-0-12-802119-4;;0;2;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Neuroergonomics;Elsevier;; ;978-0-12-811926-6;;0;0;0;1;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
New Aspects of Meat Quality;Woodhead Publishing;; ;978-0-08-100593-4;;0;0;0;2;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Numerical Ecology;Elsevier;; ;978-0-444-53868-0;0167-8892;0;0;0;3;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Omics Technologies and Bio-Engineering;Elsevier;; ;978-0-12-804659-3;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Omics Technologies and Bio-Engineering;Elsevier;; ;978-0-12-815870-8;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Operations Management in Agriculture;Elsevier;; ;978-0-12-809786-1;;0;0;4;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Organic Farming;Woodhead Publishing;; ;978-0-12-813272-2;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Orthodontic Applications of Biomaterials;Woodhead Publishing;; ;978-0-08-100383-1;;0;0;1;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Orthognathic Surgery;Elsevier;; ;978-1-4557-2698-1;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Oxidative Stability and Shelf Life of Foods Containing Oils and Fats;AOCS Press;; ;978-1-63067-056-6;;0;0;0;15;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Pediatric Dentistry (Sixth Edition);Content Repository Only!;; ;978-0-323-60826-8;;0;0;0;2;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Penetration Tester's Open Source Toolkit (Fourth Edition);Elsevier;; ;978-0-12-802149-1;;0;1;0;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Pesticide Biotransformation and Disposition;Elsevier;; ;978-0-12-385481-0;;0;0;0;10;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
PGPR Amelioration in Sustainable Agriculture;Woodhead Publishing;; ;978-0-12-815879-1;;0;0;0;17;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Phase Equilibrium Engineering;Elsevier;; ;978-0-444-56364-4;2212-0505;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Phytomanagement of Polluted Sites;Elsevier;; ;978-0-12-813912-7;;0;0;0;22;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Postharvest Physiology and Biochemistry of Fruits and Vegetables;Woodhead Publishing;; ;978-0-12-813278-4;;0;0;0;3;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Poultry Quality Evaluation;Woodhead Publishing;; ;978-0-08-100763-1;;0;0;0;6;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Power System Energy Storage Technologies;Elsevier;; ;978-0-12-812902-9;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Preharvest Modulation of Postharvest Fruit and Vegetable Quality;Elsevier;; ;978-0-12-809807-3;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Principles and Practice of Pediatric Infectious Diseases (Fifth Edition);Elsevier;; ;978-0-323-40181-4;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Principles of Environmental Physics (Fourth Edition);Elsevier;; ;978-0-12-386910-4;;0;0;0;21;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Proteins in Food Processing (Second Edition);Woodhead Publishing;; ;978-0-08-100722-8;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Publicación Científica Biomédica;Elsevier;; ;978-84-8086-461-9;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Quality Management in Forensic Science;Elsevier;; ;978-0-12-805416-1;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Remote Sensing of Aerosols, Clouds, and Precipitation;Elsevier;; ;978-0-12-810437-8;;0;0;0;15;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Resilience;Elsevier;; ;978-0-12-811891-7;;0;0;0;27;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Resilience Imperative;Elsevier;; ;978-1-78548-051-5;;0;0;0;13;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Role of the Mediterranean Diet in the Brain and Neurodegenerative Diseases;Elsevier;; ;978-0-12-811959-4;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Science and Technology of Fruit Wine Production;Elsevier;; ;978-0-12-800850-8;;0;0;2;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Science and the Global Environment;Elsevier;; ;978-0-12-801712-8;;0;0;0;7;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Shale Oil and Gas Handbook;Elsevier;; ;978-0-12-802100-2;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Shale Oil Production Processes;Elsevier;; ;978-0-12-401721-4;;0;0;0;0;20;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Small Animal Dermatology (Fourth Edition);Elsevier;; ;978-0-323-37651-8;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Soft Chemistry and Food Fermentation;Elsevier;; ;978-0-12-811412-4;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Soil Carbon Storage;Elsevier;; ;978-0-12-812766-7;;0;0;0;9;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Soil Management and Climate Change;Elsevier;; ;978-0-12-812128-3;;0;0;0;24;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Soil Mapping and Process Modeling for Sustainable Land Use Management;Elsevier;; ;978-0-12-805200-6;;0;0;0;12;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Soil Nematodes of Grasslands in Northern China;Elsevier;; ;978-0-12-813274-6;;0;0;4;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
